COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180,183,3
94,49,79,203,71,5,174,37,21,154,196,465,206,71,6,2,197,199,3
107,54,98,203,65,11,218,31,25,167,229,696,216,72,1,28,187,199,2
93,35,66,154,59,6,142,46,18,128,162,304,120,64,5,13,197,202,1
100,46,90,172,67,9,157,43,20,150,170,363,184,67,17,7,192,200,4
95,48,104,214,67,9,205,32,23,151,227,628,202,74,5,9,186,193,1
85,42,66,122,54,6,148,46,19,141,172,317,174,88,6,14,180,182,3
98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188,197,1
96,40,70,120,50,8,137,50,18,141,162,269,139,80,10,13,183,183,4
93,45,86,201,69,7,184,35,22,145,203,523,183,72,0,4,194,197,3
110,58,106,180,51,6,261,26,28,171,278,998,257,83,9,13,181,182,3
97,50,108,211,65,10,214,31,24,156,232,683,218,72,7,29,188,197,1
95,46,105,219,68,9,201,33,23,148,223,602,201,69,5,38,191,202,1
97,45,88,173,67,10,157,43,20,157,173,365,157,67,8,12,192,200,4
102,54,100,163,53,10,213,31,24,173,219,669,201,76,12,27,187,195,1
88,37,63,130,58,5,125,54,18,130,141,230,145,74,14,20,184,188,2
85,36,78,149,55,7,147,45,19,128,168,321,134,64,10,24,197,203,1
91,45,75,154,57,6,150,44,19,146,170,335,180,66,16,2,193,198,1
108,51,103,197,60,11,211,31,24,160,222,661,187,67,7,3,190,200,1
98,45,76,166,60,7,157,42,20,148,184,371,186,69,13,10,190,196,1
93,47,85,163,66,11,156,44,20,158,172,355,178,74,7,15,183,195,4
90,36,74,171,60,8,157,42,19,128,177,367,123,61,6,21,197,204,2
92,46,79,176,64,8,162,41,20,149,183,396,178,67,2,10,191,198,1
84,44,77,150,59,5,152,44,19,143,175,344,177,77,8,2,183,187,2
104,57,103,216,69,11,219,30,25,176,228,708,219,73,4,3,186,196,1
85,35,47,110,55,3,117,57,17,122,136,203,139,89,5,9,180,184,4
89,36,77,172,62,8,157,42,19,125,174,367,126,63,5,22,198,205,1
85,42,59,132,58,7,149,46,19,144,166,320,172,83,8,4,179,182,3
104,58,103,230,69,11,219,30,25,176,231,716,246,71,7,4,187,196,1
83,37,62,113,53,6,122,55,17,129,143,218,135,79,0,7,181,185,4
96,47,103,215,69,10,200,33,23,147,220,598,200,73,6,6,187,194,1
90,38,75,164,64,7,151,43,19,131,168,345,139,66,0,0,195,204,3
99,51,88,188,62,5,203,32,23,158,222,625,219,77,8,26,191,190,3
82,36,54,117,53,7,125,54,18,126,146,229,128,78,1,5,180,184,2
105,56,98,209,64,11,217,31,24,173,225,696,216,72,2,19,188,199,1
91,38,70,160,66,25,140,47,18,139,162,296,130,67,4,11,192,202,4
93,44,90,166,65,10,153,44,19,156,170,348,143,66,9,17,194,203,4
89,41,75,162,66,5,153,43,19,136,175,352,154,72,2,0,188,195,3
80,38,64,130,59,8,134,51,18,126,152,259,135,76,1,23,179,188,1
87,43,70,169,72,7,152,44,19,145,177,341,171,76,6,12,184,187,3
81,43,68,139,62,7,149,46,19,145,172,323,171,83,1,14,180,184,3
90,41,62,147,60,6,128,52,18,141,149,246,157,61,13,4,201,208,4
106,52,107,211,62,8,200,33,23,161,218,602,200,67,9,17,194,201,1
104,55,109,230,67,12,218,30,24,174,230,706,226,67,8,22,191,202,1
102,51,108,193,57,10,212,31,24,162,219,663,184,66,7,21,191,201,1
85,43,66,130,57,6,151,45,19,143,173,333,168,86,4,9,180,183,3
88,36,53,113,57,3,118,57,17,128,137,204,136,88,7,14,180,183,4
86,36,66,128,57,8,131,52,18,127,148,252,139,76,5,27,183,187,1
89,40,89,174,58,8,177,37,21,133,202,471,155,70,7,18,189,196,2
105,52,107,207,60,11,218,31,24,167,221,701,197,66,0,20,191,203,1
92,45,74,187,74,7,157,41,19,143,179,375,183,70,8,6,195,201,3
92,40,66,111,48,7,139,50,19,140,159,277,148,85,12,19,182,183,4
86,45,66,126,57,8,148,46,19,145,170,321,186,86,0,7,179,182,3
108,56,102,246,75,6,239,28,26,167,264,855,228,82,9,13,186,185,3
89,42,75,140,55,6,145,46,19,139,170,312,166,71,15,26,191,198,1
89,47,80,131,54,11,160,43,20,163,175,369,174,77,1,7,182,193,4
104,55,105,216,68,11,205,32,23,169,221,623,216,71,9,18,189,196,1
99,54,100,199,62,9,200,33,23,166,222,600,241,70,2,7,189,198,1
79,43,72,141,62,8,153,44,19,144,175,344,174,78,0,8,182,188,3
80,34,42,110,57,3,114,59,17,119,131,191,121,87,4,7,179,183,1
95,46,104,208,66,9,191,35,22,148,210,543,169,68,0,28,190,200,2
86,44,77,155,60,7,152,44,19,141,174,345,161,72,9,0,187,192,1
85,38,75,132,54,7,147,46,19,131,171,318,145,75,7,25,183,188,2
100,47,88,190,60,10,171,38,21,155,186,440,169,59,15,18,201,210,2
92,37,80,180,67,8,154,43,19,129,180,353,144,69,6,9,190,195,2
110,56,109,199,57,5,251,27,27,169,272,928,268,82,11,10,183,183,3
94,40,85,186,62,9,169,39,20,139,184,430,133,61,2,9,200,210,2
108,49,103,200,62,10,206,32,23,155,227,635,215,72,6,16,189,198,2
100,52,109,225,68,10,222,30,25,165,241,731,207,73,7,28,188,199,1
97,41,88,184,59,9,175,38,21,140,192,459,147,63,1,5,196,205,2
96,46,74,202,74,5,163,39,20,149,185,408,191,70,7,8,196,200,3
104,53,101,199,65,11,213,31,24,168,216,667,221,72,12,12,187,198,2
94,45,85,163,68,10,157,44,20,156,170,357,176,73,17,11,187,195,4
94,45,85,160,63,10,158,43,20,157,174,367,162,68,1,6,189,199,4
102,48,105,214,64,10,201,33,23,152,214,600,178,64,0,25,192,204,2
87,39,74,165,66,6,145,45,19,134,173,318,139,70,3,21,195,200,3
98,48,101,203,65,9,197,33,23,152,216,584,174,68,2,5,189,197,2
93,46,85,169,66,9,151,44,19,147,169,339,179,67,0,4,195,204,4
100,36,73,199,73,6,162,40,20,127,189,401,125,72,6,19,200,204,3
91,43,72,142,56,7,149,45,19,140,168,327,165,72,13,23,186,191,2
85,38,63,130,55,7,122,55,17,130,137,219,144,64,20,8,195,201,1
103,51,105,174,56,11,210,32,24,163,222,650,222,73,8,9,187,196,2
106,55,96,196,60,12,221,30,25,173,225,717,214,72,9,13,186,196,1
106,54,101,222,67,12,222,30,25,173,228,721,200,70,3,4,187,201,2
