COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
86,34,62,140,61,7,122,54,17,127,141,223,112,64,2,14,200,208,4
89,36,51,109,52,6,118,57,17,129,137,206,125,80,2,14,181,185,4
99,41,77,197,69,6,177,36,21,139,202,485,151,72,4,10,198,199,3
83,36,54,119,57,6,128,53,18,125,143,238,139,82,6,3,179,183,2
82,44,72,118,52,7,152,44,19,147,174,340,177,82,2,2,180,185,3
90,48,86,306,126,49,153,44,19,156,272,346,200,118,0,15,185,194,4
93,46,82,145,58,11,159,43,20,160,180,371,189,77,2,4,183,194,4
89,47,81,147,64,11,156,44,20,163,170,352,188,76,6,13,184,193,4
101,42,62,175,67,6,149,43,19,139,169,341,165,65,7,11,202,209,3
92,38,60,130,62,5,114,58,17,132,135,194,137,72,14,5,190,194,4
94,48,83,162,64,10,156,43,19,153,177,357,187,74,4,14,185,196,4
95,47,88,162,64,11,159,43,20,157,176,371,185,71,12,13,189,198,4
93,49,79,180,65,7,173,37,21,158,189,463,194,70,5,10,197,202,3
85,41,66,155,65,22,149,45,19,139,173,330,155,75,6,16,184,191,3
94,44,84,216,74,6,184,35,22,145,208,525,154,73,4,22,196,197,3
93,35,72,172,62,7,149,44,19,124,169,334,125,62,5,30,203,210,1
93,42,70,131,56,7,127,53,18,145,156,240,152,74,5,4,189,190,4
98,39,81,191,64,9,166,40,20,138,184,415,131,62,8,19,197,205,2
106,54,103,161,47,4,247,27,27,166,266,892,242,85,4,11,181,183,3
102,54,106,221,68,11,207,32,24,164,228,638,238,71,0,26,189,200,2
97,48,94,198,63,9,181,36,21,155,200,494,189,64,20,11,199,203,1
92,37,86,167,60,7,158,42,20,131,181,373,144,68,9,21,190,196,2
85,42,64,121,55,7,149,46,19,146,167,323,172,85,1,6,179,182,3
93,41,79,159,63,8,144,46,19,150,165,309,134,67,4,9,195,203,4
107,54,98,210,66,11,218,31,24,169,221,704,216,71,14,0,188,197,2
86,41,64,148,61,5,150,45,19,138,165,333,173,80,5,8,182,185,2
94,43,68,170,67,6,142,46,18,142,164,310,177,65,10,8,198,203,3
112,50,110,186,56,11,214,31,24,159,232,676,203,71,18,27,191,202,2
116,53,110,231,67,12,217,31,24,165,231,692,222,67,16,28,192,206,2
88,43,84,136,55,11,154,44,19,150,174,350,164,73,6,2,185,196,4
93,43,78,166,59,7,151,44,19,141,182,342,174,68,15,2,193,197,1
89,36,68,149,60,8,133,50,18,134,153,265,119,62,6,18,201,209,4
87,43,65,127,56,8,149,46,19,143,169,322,171,85,6,3,180,182,3
86,40,75,146,62,6,140,48,18,135,158,290,162,72,3,21,183,190,1
87,45,77,153,59,7,154,44,19,145,181,350,172,75,15,14,184,189,1
87,36,53,117,58,4,118,57,17,125,138,205,138,85,9,15,180,183,4
96,39,77,160,62,8,140,47,18,150,161,294,124,62,15,3,201,208,4
93,34,72,144,56,6,133,50,18,123,158,263,125,63,5,20,200,206,2
98,48,101,195,61,11,207,31,23,152,227,650,193,71,5,7,189,196,1
104,53,108,206,61,11,217,31,24,168,226,694,209,67,0,9,188,201,2
84,40,71,131,55,7,150,45,19,134,167,330,165,80,12,1,180,186,1
92,38,74,178,62,9,161,41,20,135,181,388,132,63,7,29,197,206,1
92,40,62,144,59,8,127,52,17,139,149,241,150,62,13,1,204,210,4
104,55,100,201,66,10,214,31,24,173,224,680,221,74,1,1,185,194,2
91,39,72,133,55,7,146,46,19,132,170,314,149,77,9,18,184,189,2
88,38,77,156,56,7,163,41,20,129,184,395,140,67,1,9,192,198,1
76,38,58,125,58,5,133,51,18,127,152,259,145,87,0,21,177,184,1
92,42,75,172,60,8,147,45,19,142,174,322,160,62,22,10,206,211,1
107,54,108,228,68,12,218,31,25,170,223,700,224,67,13,25,190,204,2
86,43,61,119,53,8,150,46,19,144,169,326,172,85,8,8,179,182,3
97,35,66,151,64,8,128,52,18,129,148,246,112,66,6,2,195,200,4
94,43,69,161,59,7,152,43,19,143,175,349,187,67,12,11,193,198,2
100,51,89,199,65,6,201,32,23,159,219,622,205,74,6,7,193,193,3
89,38,78,153,61,7,146,46,19,127,166,314,142,69,0,9,187,194,1
104,55,105,223,70,10,223,30,25,177,237,737,218,75,14,11,188,196,1
84,44,65,128,55,8,150,46,19,148,169,325,176,82,1,11,179,183,3
93,39,78,164,66,8,139,48,18,140,157,290,126,64,4,7,201,208,4
108,56,103,234,73,10,221,30,25,174,232,718,214,73,8,3,187,197,2
96,40,100,178,58,8,181,37,21,134,205,486,160,68,5,34,192,202,2
81,38,53,123,58,6,134,51,18,128,147,259,148,83,10,6,177,184,1
97,41,62,133,56,7,130,52,18,143,158,247,157,78,5,7,184,186,4
96,41,69,153,56,7,141,47,18,141,162,297,169,61,11,8,202,209,2
96,46,88,160,64,9,151,44,19,148,173,339,182,70,15,11,192,199,4
98,55,104,213,67,9,206,32,23,167,223,629,220,72,5,19,187,196,2
89,45,85,149,59,11,158,43,20,158,177,362,173,75,12,16,183,193,4
90,43,72,157,64,8,136,49,18,145,158,279,167,64,4,6,201,209,4
105,51,80,207,71,6,195,33,22,159,214,579,188,75,6,20,194,194,3
110,54,102,201,64,11,213,31,24,171,222,669,221,73,17,16,188,198,2
94,44,70,186,72,8,153,42,19,144,171,361,178,67,7,2,199,206,3
105,54,108,234,70,12,215,31,24,168,226,687,228,68,4,22,189,201,2
101,55,107,200,61,11,225,30,25,178,228,730,204,74,8,35,187,201,1
85,36,51,115,56,5,119,57,17,124,139,207,127,81,13,5,181,184,4
88,39,70,166,66,7,148,44,19,134,167,332,143,69,5,13,193,201,3
85,43,66,120,54,5,148,46,19,145,168,320,174,87,8,2,179,181,3
83,40,53,114,53,6,132,53,18,140,142,247,157,86,8,7,176,183,4
111,53,108,211,61,11,207,32,23,167,217,636,216,64,21,2,196,205,2
89,44,80,191,66,6,162,40,20,143,189,396,180,66,13,11,194,199,1
90,48,77,132,56,10,157,44,20,164,169,354,187,78,1,3,182,191,4
85,43,66,123,55,7,150,45,19,146,172,326,173,83,4,15,180,183,3
90,48,85,157,64,11,161,43,20,167,175,375,186,74,3,16,185,195,4
104,53,108,204,64,11,220,31,25,172,226,707,203,71,14,30,189,203,2
95,43,96,202,65,10,189,35,22,143,217,534,166,71,6,27,190,197,1
93,42,98,192,63,9,185,36,22,138,206,508,173,70,10,21,189,197,2
100,47,70,185,70,7,162,40,20,153,179,406,172,68,9,6,200,205,3
